id,priority,family,eco,name,pgn,why_it_matters,white_plan,black_plan,middlegame_tabia,key_ideas,common_traps,avoid,tags,related
sicilian_alapin,A,Sicilian Defense,B22,Alapin Variation,1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3,Главный анти-Сицилианский репертуар: снижает теорию Open Sicilian.,"Построить центр d4/e4, быстро развиться, иногда изолятор d4.","...d5 или ...Nf6; цель — немедленно бить центр, не дать белым идеальный пешечный дуэт.","Часто возникает изолированная пешка d4: белые получают активность, чёрные — блокаду.",2.c3 готовит d4 без размена конём. | Чёрным важно сразу атаковать центр.,,,,
sicilian_rossolimo,A,Sicilian Defense,B30-B31,Rossolimo Variation,1. e4 c5 2. Nf3 Nc6 3. Bb5 g6 4. O-O Bg7 5. c3,"Один из самых практичных ответов на 2...Nc6: меньше теории, много позиционных идей.","Иногда Bxc6, c3-d4, давление на слабые поля.","...g6/ ...e6, развитие и компенсация парой слонов.","Белые играют против структуры, чёрные — за активность слонов.","Решение Bxc6 должно быть связано со структурой, не рефлексом.",,,,
sicilian_moscow,A,Sicilian Defense,B51-B52,Moscow Variation,1. e4 c5 2. Nf3 d6 3. Bb5+ Bd7 4. Bxd7+ Qxd7 5. O-O,Практический способ избежать Найдорфа/Дракона после ...d6.,"Быстрая рокировка, c3/d4 или Re1; игра против чуть неловкого ферзя.","...Nf6, ...g6, ...Nc6; чёрные принимают спокойную позицию без худших слабостей.",Позиционная игра без тактической мясорубки Open Sicilian.,Шах Bb5+ заставляет чёрных определить структуру.,,,,
sicilian_closed,B,Sicilian Defense,B23-B26,Closed Sicilian,1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3,"Система для игры по планам: меньше конкретной теории, но важны тайминги f4 и b4.","f4, Nf3, Be3, Qd2, королевская атака; иногда b4 на ферзевом фланге.","...e6, ...Nge7, ...d6, ...b5; чёрные борются за пространство и центр.","Маневренная игра: белые часто атакуют короля, чёрные — ферзевый фланг и центр.","Не играй f4, если центр может вскрыться против короля.",,,,
sicilian_grand_prix,B,Sicilian Defense,B23,Grand Prix Attack,1. e4 c5 2. Nc3 Nc6 3. f4 g6 4. Nf3 Bg7 5. Bb5,Популярный атакующий анти-Сицилианский план на клубном уровне.,"f4-f5, Qe1-h4, Bb5, атака на короля.","...g6, ...d6, ...e6; держать центр и не пустить f5 бесплатно.","Белые давят на короля; чёрные выигрывают, если центр вскрывается вовремя.",Qe1-h4 — типовой маршрут ферзя. | Чёрным полезно помнить ...e6 и ...Nge7.,,,,
sicilian_smith_morra,B,Sicilian Defense,B21,Smith-Morra Gambit,1. e4 c5 2. d4 cxd4 3. c3 dxc3 4. Nxc3 Nc6 5. Nf3,"Гамбит, который часто встречается в блице/клубной практике; надо знать схему защиты.","Развитие с темпом: Bc4, O-O, Re1, давление по c/d-файлам.","Принять или отказаться; при принятии быстро развиться: ...d6, ...e6, ...Nf6.","Белые получают активность за пешку; чёрные выживают развитием, не жадностью.",Не пытайся удержать всё любой ценой: безопасность короля важнее пешки.,,,,
ruy_lopez_closed,A,Ruy Lopez,C88-C99,Ruy Lopez — Closed Main Line,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 d6 8. c3 O-O 9. h3,"Главная школа стратегического шахматного дебюта: центр, маневры, профилактика.","c3-d4, Re1, Nbd2-f1-g3, давление на e5 и короля.","...b5, ...d6, ...O-O, ...Na5/...c5; контригра против центра и слона b3.","Испанская табия: белые медленно усиливают центр, чёрные ищут ...c5 или ...d5.",h3 предотвращает ...Bg4 и готовит d4. | Маневр Nf1-g3/d2 — классика.,,,,
ruy_lopez_berlin,A,Ruy Lopez,C65-C67,Ruy Lopez — Berlin Defense,1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Nxe4 5. d4 Nd6 6. Bxc6 dxc6 7. dxe5 Nf5,Одна из самых важных защит к Испанской: часто ведёт к эндшпильным/структурным позициям.,Использовать пространство и более активные фигуры; не ждать быстрой атаки.,Принять структуру с парой слонов и крепкой обороной; размены выгодны при точной игре.,"Berlin Endgame/структура: белые активнее, чёрные устойчивы.",Белым не надо переигрывать: маленькие улучшения важнее атаки. | Чёрные играют на эндшпильную прочность.,,,,
ruy_lopez_exchange,B,Ruy Lopez,C68-C69,Ruy Lopez — Exchange Variation,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. O-O,Простой позиционный план против Испанской: испортить структуру и играть эндшпиль.,"Быстро рокировать, иногда d4; использовать структуру c6+c7 в эндшпиле.",Компенсация парой слонов и открытой d-линией; активность важнее пешечной красоты.,Белые играют на долгосрочную структуру; чёрные — на активных слонов.,Не разменивать всё автоматически: пара слонов чёрных может стать сильной.,,,,
ruy_lopez_marshall,A,Ruy Lopez,C89,Ruy Lopez — Marshall Attack,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5,Критическая Испанская: чёрные жертвуют пешку за мощную инициативу.,Знать анти-Маршалл или принимать с точной защитой; не играть по общим принципам.,Жертва ...d5 даёт линии и темпы против белого короля.,После принятия — дебютная теория превращается в тактическую защиту белых.,"8...d5 — центральный взрыв. | Анти-Маршалл: 8.a4, 8.h3, 8.d4.",,"В приложении пометить как «требует отдельного тренажёра», если пользователь принимает гамбит.",,
italian_giuoco_pianissimo,A,Italian Game,C50-C54,Giuoco Pianissimo,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Nf6 5. d3 d6 6. O-O O-O,Современная универсальная альтернатива Испанской; часто встречается на всех уровнях.,"c3, d3, O-O, Re1, Nbd2-f1-g3; затем d4 или атака на короля.","Зеркально развиться, выбрать ...a6/...h6, ...O-O, иногда ...d5.","Медленная борьба за d4/d5; кто лучше подготовит разрыв, тот получает инициативу.",Не путать с ранним d4: Pianissimo — сначала развитие и профилактика.,,,,
italian_two_knights_ng5,B,Italian Game,C55-C59,Two Knights Defense — 4.Ng5,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 Na5 6. Bb5+ c6 7. dxc6 bxc6,"Тактическая линия, которую нужно знать, чтобы не бояться 3...Nf6.","Давление на f7, но после ...Na5 надо не потерять темпы.","Жертвовать пешку/структуру за темпы: ...c6, ...bxc6, активные фигуры.","Чёрные получают активность за пешку; белые должны играть точно, иначе инициатива исчезает.","4.Ng5 выглядит прямолинейно, но требует теории. | Чёрные не защищают f7 пассивно, а бьют центр.",,,,
scotch_game,A,Scotch Game,C45,Scotch Game,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Nf6 5. Nc3 Bb4,"Прямой способ вскрыть центр против 1...e5; меньше маневров, чем в Испанской.","Быстрое развитие, давление в центре, иногда Nxc6 и e5.","Развиваться с темпами на центр: ...Nf6, ...Bb4, ...Bc5.","Открытый центр: ошибки в развитии наказываются быстрее, чем в Испанской.",После 4.Nxd4 белый ферзь/конь могут стать темповой целью.,,,,
four_knights,B,Open Games,C47-C49,Four Knights Game,1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Bb4,Надёжная симметричная линия; нужна для распознавания спокойных e4-e5 позиций.,"Bb5, O-O, d3 или d4; игра без раннего риска.","Развиваться симметрично, затем выбрать ...Bb4 или ...d5.","Малые преимущества: структура, поле d5, темпы на связках.",Симметрия не равна ничьей: первый разрыв центра важен.,,,,
vienna_gambit,B,Vienna Game,C25-C29,Vienna Game — Vienna Gambit,1. e4 e5 2. Nc3 Nf6 3. f4 d5 4. fxe5 Nxe4,Популярная практическая атака белых; чёрным нужно знать центральный ответ.,"f4 даёт атаку, но центр должен быть под контролем.","...d5 — лучший принцип: бей центр, не защищайся пассивно.",Открытые линии и нестабильный центр; ранний фланговый удар требует точности.,"Если белые играют f4, чёрные должны отвечать в центре.",,,,
kings_gambit_accepted,B,King’s Gambit,C33-C39,King’s Gambit Accepted,1. e4 e5 2. f4 exf4 3. Nf3 g5 4. h4 g4 5. Ne5,Исторически важный и до сих пор практический гамбит; учит игре за инициативу.,"Вернуть/играть за пешку через развитие, h4, Bc4, O-O.",Принять и удерживать только если развитие не страдает; ...g5-g4 — остро.,"Белые вскрывают королевский фланг, чёрные получают материальный плюс и риск.",Не держи пешку ценой матовой безопасности.,,,,
petroff_main,A,Petroff Defense,C42-C43,Petroff Defense — Main Line,1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4 5. d4 d5,Одна из самых надёжных защит к 1.e4; обязательна для понимания симметрии и темпов.,"Использовать лишний темп развития, c4 или Bd3, давление на e4/d5.",Вернуть симметрию и получить крепкий центр.,"Ровная структура; перевес рождается из темпов и лучшего развития, не из «атаки».",В Петрове нельзя механически копировать: темпы решают.,,,,
philidor_defense,B,Open Games,C41,Philidor Defense,1. e4 e5 2. Nf3 d6 3. d4 Nf6 4. Nc3 exd4 5. Nxd4,Частая у любителей защита; белым важно быстро занять центр.,"d4, Nc3, Be2/Bc4, O-O; использовать пассивность ...d6.","Держать e5, развиться без зажатия; иногда ...exd4 и ...Be7.",Белые имеют пространство; чёрные должны вовремя освободиться ...c6/...d5.,Главная проблема чёрных — пассивный слон c8.,,,,
ponziani,C,Open Games,C44,Ponziani Opening,1. e4 e5 2. Nf3 Nc6 3. c3 Nf6 4. d4,"Редкая, но практичная линия; приложение должно распознавать её как центр d4.","c3-d4, выиграть центр, но не отстать в развитии.",...Nf6 или ...d5 — немедленный удар по центру.,"Белые получают пешечный центр, чёрные атакуют его фигурами.",Против c3 в открытых играх принцип — ударить по центру.,,,,
bishops_opening,C,Open Games,C23-C24,Bishop’s Opening,1. e4 e5 2. Bc4 Nf6 3. d3 Nc6 4. Nf3,Гибкий способ попасть в Итальянскую/Венскую без 2.Nf3.,"Развитие, d3, Nf3, O-O; часто переход в Italian structures.","...Nf6, ...Nc6, ...Bc5; нормальное развитие и контроль d4.","Часто транспонирует, поэтому app должен связывать с Italian/Vienna.",Не считать редкостью: это часто транспозиция.,,,,
french_winawer,A,French Defense,C15-C19,Winawer Variation,1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. e5 c5 5. a3 Bxc3+ 6. bxc3,Критическая Французская: структура и пара слонов против слабостей.,"Пространство e5, атака на короля, использовать пару слонов и центр.","Давление на c3/d4, ...c5, ...Qa5, ...Ne7, ...b6; подрыв центра.","Белые атакуют, но имеют слабые пешки c; чёрные играют по структуре.","Французский слон c8 — проблема чёрных, но в Winawer есть контригра.",,,,
french_classical_steinitz,A,French Defense,C11-C14,Classical / Steinitz Variation,1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. f4 c5 6. Nf3,Базовая структура French Advance с конём на c3; учит игре против центра.,"Пространство e5+f4, развить фигуры, поддержать d4, атака на короля.","...c5, ...Nc6, ...Qb6; давление на d4 и белые поля.",Цепь d4-e5 против ...c5/...f6: кто лучше ломает центр.,...c5 и ...f6 — главные рычаги чёрных.,,,,
french_tarrasch,A,French Defense,C03-C09,Tarrasch Variation,1. e4 e6 2. d4 d5 3. Nd2 c5 4. exd5 exd5 5. Ngf3,Умный способ избежать Winawer; часто ведёт к изолятору или симметрии.,Nd2 поддерживает e4 и избегает ...Bb4; играть c3/Ngf3/Bd3.,...c5 сразу давит на d4; чёрные получают активную структуру.,Борьба вокруг изолятора d4/d5 и темпа развития.,"3.Nd2 менее активно, но гибко. | Чёрным не стоит медлить с ...c5.",,,,
french_advance,A,French Defense,C02,Advance Variation,1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6,Одна из самых частых Французских у любителей: понятная пешечная цепь.,"Цепь c3-d4-e5, развитие, иногда a3/b4, атака на короля.","...c5, ...Qb6, ...Nc6, ...f6; атаковать основание d4.","Учебная структура: белые играют на пространстве, чёрные — на подрывах.",Основание цепи белых — d4; чёрные атакуют его первыми.,,,,
french_exchange,B,French Defense,C01,Exchange Variation,1. e4 e6 2. d4 d5 3. exd5 exd5 4. Nf3 Nf6 5. Bd3,"Встречается часто как «избежать теории»; нужно знать, как играть на победу.","Развитие, Bd3, O-O, c3; играть против симметрии активностью.","Не соглашаться на мёртвую симметрию: ...Bd6, ...Nf6, ...O-O, ...c5.","Симметричная структура, где инициативу дают темпы и активные фигуры.","Чёрным полезно рано играть ...c5, чтобы нарушить симметрию.",,,,
french_rubinstein,B,French Defense,C10,Rubinstein Variation,1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7,Солидная Французская без острой теории Winawer/Classical.,"Развиться с Nf3, Bd3, O-O; использовать пространство и активность.","...Nd7, ...Nf6, ...Be7; размены и крепкая структура.","Белые активнее, чёрные стабильны. Главная задача белых — не дать равенство без борьбы.","После ...dxe4 чёрные снимают напряжение, но отдают белым свободное развитие.",,,,
caro_advance_short,A,Caro-Kann Defense,B12,Advance Variation — Short System,1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 c5 6. O-O,Самая частая современная структура Каро-Канн: белые берут пространство.,"e5, Nf3, Be2/O-O; затем c4 или атака на короля.","...Bf5 до ...e6, затем ...c5; подрыв центра.","Белые имеют пространство, чёрные целятся в d4 и играют активным слоном f5.",Смысл Caro: вывести слона c8 до закрытия ...e6.,,,,
caro_classical_bf5,A,Caro-Kann Defense,B18-B19,Classical Variation — 4...Bf5,1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bf5 5. Ng3 Bg6 6. h4 h6,Классическая линия Каро-Канн; обязательна для обеих сторон.,"Ng3, h4, Nf3, Bc4; давить на королевский фланг и центр.","Слон g6, ...h6, ...e6, ...Nd7; крепкая структура.","Белые атакуют слона и пространство, чёрные выдерживают и развиваются.",h4-h5 — типовой ресурс белых. | Чёрным важно не потерять слона f5/g6.,,,,
caro_kann_karpov,B,Caro-Kann Defense,B17,Karpov Variation — 4...Nd7,1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6,Солидная система Каро-Канн с минимумом ранних тактик.,"Развиться, Bd3/Bc4, O-O; использовать пространство.","...Ngf6, ...e6, ...Be7; разменять активные фигуры белых.","Позиционная игра: белые активнее, чёрные строят крепость.",Чёрные часто стремятся к эндшпилю с хорошей структурой.,,,,
caro_panov,A,Caro-Kann Defense,B13-B14,Panov-Botvinnik Attack,1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nc3 e6,Ключевая линия против Exchange Caro: белые получают изолированную пешку и активность.,"c4, Nc3, Nf3; играть на активность и d5/d4.","Блокировать изолятор, разменивать фигуры, давить на d4.","Классика IQP: белые атакуют, чёрные блокируют.","Изолированная пешка — сила в миттельшпиле, слабость в эндшпиле.",,,,
caro_exchange,B,Caro-Kann Defense,B13,Exchange Variation,1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 Nc6 5. c3,Частый практический способ играть без тяжёлой теории.,"Bd3, c3, Nf3, Bf4/Bg5; развиваться и искать атаку.","...Nc6, ...Nf6, ...Bg4; активность фигур компенсирует симметрию.",Симметричная структура; игра идёт за активные фигуры и контроль e-файла.,Чёрным нельзя играть слишком пассивно: слон c8 должен выйти.,,,,
caro_two_knights,B,Caro-Kann Defense,B11,Two Knights Variation,1. e4 c6 2. Nc3 d5 3. Nf3 dxe4 4. Nxe4 Nf6,"Удобный анти-Каро вариант для белых, часто встречается в быстрых партиях.","Развитие без d4, быстрые фигуры и давление на f6/e4.","...dxe4, ...Nf6; не дать белым бесплатную атаку.","Менее структурная, более фигурная игра, чем классический Caro.","Чёрным полезно знать, когда менять коней на e4.",,,,
scandinavian_qa5,A,Scandinavian Defense,B01,Scandinavian — 3...Qa5,1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3,Простая и частая защита; белым важно не переоценивать темпы на ферзя.,"Развиться с d4/Nf3/Bc4, выиграть темпы, но не гонять ферзя бесконечно.","Ферзь на a5, ...Nf6, ...c6, ...Bf5; крепкая скандинавская структура.","Белые имеют темпы, чёрные — ясную структуру и лёгкое развитие.","После 3.Nc3 ферзь уходит, но чёрные не проиграли: нужна нормальная игра.",,,,
scandinavian_modern_nf6,B,Scandinavian Defense,B01,Modern Scandinavian — 2...Nf6,1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. c4 Nb6,Альтернатива раннему выводу ферзя; часто ведёт к активной фигурной игре.,Занять центр d4/c4 и развиться.,"Вернуть пешку фигурой, давить на центр, иногда ...g6.",Позиции напоминают открытый центр с лишним пространством у белых.,"Белым не стоит жадничать пешкой d5, если развитие отстаёт.",,,,
pirc_austrian,A,Pirc Defense,B09,Austrian Attack,1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7 5. Nf3 O-O,Главный агрессивный тест Пирца: белые строят большой центр.,"e4-d4-f4, Nf3, Be2/Bd3, O-O; атака и контроль e5.","...Bg7, ...O-O, ...c5 или ...e5; подорвать центр.","Белые имеют пространство; чёрные ждут момент, чтобы ударить по центру.","В Пирце чёрные не борются за центр пешками сразу, но обязаны подрывать позже.",,,,
pirc_150_attack,A,Pirc Defense,B07-B09,150 Attack,1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 Bg7 5. Qd2 O-O 6. O-O-O,Простой атакующий план против Pirc/Modern.,"Be3-Qd2-O-O, h4-h5, Bh6; атака на короля.",...c6/ ...a6/ ...b5 или ...e5; контрудар до атаки белых.,Рокировки в разные стороны: темп и пешечные рычаги решают.,"Чёрным нельзя смотреть, как белые проводят h4-h5.",,,,
modern_defense,B,Modern Defense,B06,Modern Defense,1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6,"Гибкая защита, часто пересекается с Пирцем и КИД.","Занять центр, развиться, выбрать Be3/Qd2 или f4.","Фианкетто, ...a6/...b5 или ...c5; провоцировать чрезмерное расширение центра.","Белые имеют центр, чёрные атакуют его с фланга.",Modern опасен для обеих сторон: один лишний темп решает структуру.,,,,
alekhine_modern,B,Alekhine Defense,B04-B05,Alekhine — Modern Variation,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4 5. Be2 e6,Защита-провокация: чёрные заставляют белых занять центр и потом его атакуют.,Строить центр без перегиба; развиваться и поддерживать d4/e5.,"Атаковать центр: ...d6, ...Bg4, ...e6, ...c5.",Белый центр против чёрных подрывов; не путать пространство с выигрышем.,"Белым нельзя гнать коня любой ценой, забыв развитие.",,,,
owen_defense,C,Owen Defense,B00,Owen Defense,1. e4 b6 2. d4 Bb7 3. Bd3 e6 4. Nf3,"Редкое, но практическое фианкетто; приложение должно давать базовый план.","Занять центр, развиться, не зевнуть давление на e4.","...Bb7 давит на e4; затем ...Nf6, ...c5 или ...d5.",Белый центр под прицелом диагонали a8-h1.,Защищай e4: ход Bd3 часто нужен именно для этого.,,,,
nimzowitsch_defense,C,Nimzowitsch Defense,B00,Nimzowitsch Defense,1. e4 Nc6 2. d4 d5 3. e5 Bf5,Редкая система; важно не растеряться и сыграть нормальный центр.,"d4/e5, развить фигуры, не закрыть все линии без плана.","...d5, ...Bf5, ...e6; давление на центр.",Похожа на French/Caro гибрид: центр белых против подрывов.,Против редких дебютов лучший ответ — центр + развитие.,,,,
qgd_orthodox,A,Queen’s Gambit Declined,D35-D69,QGD — Orthodox Main Line,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5 Be7 5. e3 O-O 6. Nf3 h6 7. Bh4,Базовая ферзевая структура; фундамент для понимания d4-дебютов.,"Развить фигуры, cxd5 в нужный момент, давление на c/e-линии.","...Be7, ...O-O, ...h6, ...c6/ ...b6; освободиться через ...c5 или ...e5.",Плотная структура: главный вопрос — кто лучше подготовит центральный разрыв.,Чёрным нужен освобождающий ход ...c5 или ...e5. | Белым важно не запереть слона c1 без плана.,,,,
qgd_exchange,A,Queen’s Gambit Declined,D35,QGD — Exchange Variation / Carlsbad,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 exd5 5. Bg5 Be7 6. e3 O-O,Карлсбадская структура — обязательный паттерн миттельшпиля.,Minority attack: b4-b5 против пешек c6/d5; либо атака на короля.,"...c6, ...Bf5/ ...Be6, ...Ne4; держать c6 и создавать контригру.","Белые часто атакуют ферзевый фланг меньшинством, чёрные — центр/короля.","b4-b5 — не «фланг ради фланга», а атака на базу c6.",,,,
qgd_tartakower,A,Queen’s Gambit Declined,D58-D59,QGD — Tartakower / Makogonov-Bondarevsky,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5 Be7 5. e3 O-O 6. Nf3 h6 7. Bh4 b6,Классическая активная система чёрных в QGD.,"Давить на центр, cxd5, развить ладьи; следить за ...Bb7.","...b6, ...Bb7, ...Ne4; решить проблему слона c8.","Чёрные получают активного слона, белые — стабильный центр.",...b6 — способ оживить слона c8.,,,,
